Title,Authors,Contributors,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Star Rating,Review,Tags,Owned?
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,digital,read,2023/05/02,2024-05-01,2024/05/01,1,5.0,,,No
The Alice Network,Kate Quinn,,paperback,to-read,2025/02/27,,,0,,,,No
Beneath a Scarlet Sky,Mark T. Sullivan,,digital,read,2017/07/24,2021-01-26,2021/01/26,1,5.0,,favorites,No
The Tuscan Child,Rhys Bowen,,digital,read,2023/05/14,2023-05-21,2023/05/21,1,4.0,,,No
The Immortals of Meluha,Amish,,paperback,read,2017/07/25,,,1,4.0,,,No
Happy Place,Emily Henry,,digital,read,2024/01/20,2024-01-26,2024/01/26,1,2.0,It was probably the most boring romance novel I ever read. Never give in to the hype again.,,No
Mystic River,Dennis Lehane,,digital,did-not-finish,2024/08/03,,,0,,,,No
The Racketeer,John Grisham,,digital,read,2016/08/07,2016-08-07,2016/08/07,1,3.0,,,No
All the Dangerous Things,Stacy Willingham,,digital,read,2023/12/01,2023-12-06,2023/12/06,1,5.0,,,No
The Serpent and the Wings of Night,Carissa Broadbent,,digital,read,2023/05/02,2023-05-08,2023/05/08,1,4.0,,,No
First Lie Wins,Ashley Elston,,digital,read,2024/06/04,2024-06-14,2024/06/14,1,4.0,,,No
Outlive: The Science and Art of Longevity,Peter Attia,Bill Gifford,digital,currently-reading,2024/12/05,,,0,,,,No
The Book of Lost Names,Kristin Harmel,,digital,read,2023/10/03,2023-10-09,2023/10/09,1,5.0,,favorites,No
When We Believed in Mermaids,Barbara O'Neal,,digital,read,2023/05/01,2023-05-03,2023/05/03,1,3.0,,,No
Station Eleven,Emily St. John Mandel,,hardcover,to-read,2025/01/04,,,0,,,,No
The Girl on the Train,Paula Hawkins,,paperback,read,2016/08/31,,,1,4.0,,,No
Looking for Jane,Heather Marshall,,hardcover,to-read,2025/03/06,,,0,,,,No
The Candid Life of Meena Dave,Namrata Patel,,digital,read,2023/10/12,2023-10-13,2023/10/13,1,3.0,,,No
The Women,Kristin Hannah,,hardcover,to-read,2025/01/04,,,0,,,,No
Chanakya's Chant,Ashwin Sanghi,,paperback,read,2017/07/25,,,1,3.0,,,No
What the Wind Knows,Amy Harmon,,digital,read,2021/01/25,2023-04-30,2023/04/30,1,4.0,,favorites,No
Iron Flame,Rebecca Yarros,,digital,read,2024/08/22,2024-08-15,2024/08/01-2024/08/15,1,4.0,,,No
Wrong Place Wrong Time,Gillian McAllister,,digital,read,2023/11/08,2023-11-11,2023/11/11,1,5.0,,,No
As Long as the Lemon Trees Grow,Zoulfa Katouh,,digital,read,2024/06/26,2025-01-24,2024/11/12-2025/01/24,1,5.0,<div>Wars reveal profound human suffering caused by the devastating consequences of oppression and violence while also exposing the darker side of humanity.&nbsp;</div>,,No
None of This Is True,Lisa Jewell,"Louise Brealey (Narrator), Emilia Fox (Narrator), Elliot Fitzpatrick (Narrator), Ayesha Antoine (Narrator), Thomas Judd (Narrator), Alix Dunmore (Narrator), Kate MacDonald (Narrator), Dominic Thorburn (Narrator), Jenny Walser (Narrator), Nicola Walker (Narrator), Kristin Atherton (Narrator)",audio,read,2024/08/22,2024-11-30,2024/08/20-2024/11/30,1,4.0,,,No
The Breakdown,B.A. Paris,,audio,read,2024/12/01,2024-12-12,2024/12/01-2024/12/12,1,4.0,,,No
A Court of Mist and Fury,Sarah J. Maas,,digital,read,2024/02/01,2024-02-06,2024/02/06,1,4.0,,,No
Demon Copperhead,Barbara Kingsolver,,hardcover,to-read,2025/03/05,,,0,,,,No
Priest,Sierra Simone,,digital,read,2024/12/30,2024-06-12,2024/06/02-2024/06/12,1,4.0,,,No
A Flicker in the Dark,Stacy Willingham,,paperback,read,2023/06/15,2023-12-25,2023/12/25,1,4.0,,,No
The God of the Woods,Liz Moore,,hardcover,to-read,2025/01/04,,,0,,,,No
The Woman in the Window,A.J. Finn,Ann Marie Lee,audio,read,2018/10/18,2024-03-25,2024/03/25,1,4.0,,,No
The Ghostwriter,A.R. Torre,,digital,read,2017/11/07,2023-04-06,2023/04/06,1,4.0,,,No
The Love Hypothesis,Ali Hazelwood,,digital,read,2023/12/06,2024-03-23,2024/03/23,1,3.0,,,No
Lessons in Chemistry,Bonnie Garmus,,digital,read,2023/05/19,2023-12-16,2023/12/16,1,5.0,,favorites,No
One Dark Window,Rachel Gillig,,paperback,to-read,2025/01/04,,,0,,,,No
What Lies in the Woods,Kate Alice Marshall,Karissa Vacker (Narrator),audio,read,2024/04/13,2024-05-14,2024/05/14,1,3.0,,,No
The Last Rose of Shanghai,Weina Dai Randel,,digital,read,2023/06/13,2023-06-14,2023/06/14,1,5.0,,favorites,No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),digital,read,2024/02/13,2024-04-28,2024/04/28,1,4.0,,,No
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,,digital,read,2016/11/18,2017-04-10,2017/04/10,1,3.0,,,No
The Kite Runner,Khaled Hosseini,,paperback,read,2017/04/16,,,1,5.0,,favorites,No
Death's End,Cixin Liu,Ken Liu (Translator),digital,read,2024/08/22,2024-09-02,2024/08/22-2024/09/02,1,5.0,"<div>I was initially skeptical about the Remembrance of Earth’s Past series, particularly the first book, which I found just okay.&nbsp;<br>The second book started slow for me, but I grew more invested as the story progressed, especially in the latter half.&nbsp;<br>However, it was Death’s End that truly captivated me. The third book is a remarkable conclusion to the series, even though I felt the last few chapters were a bit rushed. While I initially underestimated the series due to the seemingly boring philosophical sections, I’ve come to appreciate that they were essential to the depth and complexity of the story. Overall, I thoroughly enjoyed the series and would recommend it to anyone interested in hard science fiction.</div>",favorites,No
The Housemaid's Secret,Freida McFadden,,digital,to-read,2025/01/04,,,0,,,,No
"Good Girl, Bad Blood",Holly Jackson,"Neil Hellegers (Narrator), MacLeod Andrews (Narrator), James Fouhey (Narrator), Raymond J. Lee (Narrator), Amy Landon (Narrator), Donte Bonner (Narrator), Bailey Carr (Narrator), Keylor Leigh (Narrator), Maggi-Meg Reed (Narrator), Shezi Sardar (Narrator), Cary Hite (Narrator)",audio,read,2024/07/05,2024-07-26,2024/07/26,1,5.0,,,No
